service_point,visit_date,Vkg (kg),Capacity (kg),Fill% (ratio),CAIv (ratio),VOF (%),VUR (%),CVv (ratio),PMRv (ratio),GRp90 (kg/day),DtO (days),IG (days),CVgr (ratio),anomaly_score,decision,is_anomaly
2e Van der Huchtschool,2024-01-09,5.16,250.0,0.020640000000000002,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.4876714964102304,,1
2e Van der Huchtschool,2024-01-23,22.93,250.0,0.09172,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.44811785738981796,,1
2e Van der Huchtschool,2024-02-06,43.89,250.0,0.17556,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.4176182911357177,,1
2e Van der Huchtschool,2024-02-20,116.97,250.0,0.46788,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.3932141079608754,,1
2e Van der Huchtschool,2024-03-05,40.96,250.0,0.16384,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.3998798080301168,,1
2e Van der Huchtschool,2024-03-19,10.81,250.0,0.04324,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.4327175919953954,,1
2e Van der Huchtschool,2024-04-02,27.68,250.0,0.11072,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.4075289312441095,,1
2e Van der Huchtschool,2024-04-16,22.9,250.0,0.0916,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.41358928384169624,,1
2e Van der Huchtschool,2024-04-30,45.58,250.0,0.18231999999999998,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.39697923977888566,,1
2e Van der Huchtschool,2024-05-14,17.94,250.0,0.07176,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.4443437463559577,,1
2e Van der Huchtschool,2024-05-28,76.89,250.0,0.30756,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.3992512292261242,,1
2e Van der Huchtschool,2024-06-11,57.38,250.0,0.22952,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.3961054768737257,,1
2e Van der Huchtschool,2024-06-25,11.68,250.0,0.04672,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.4346661168980578,,1
2e Van der Huchtschool,2024-07-09,41.67,250.0,0.16668,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.40304856407959416,,1
2e Van der Huchtschool,2024-07-23,35.38,250.0,0.14152,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.40652372866702835,,1
2e Van der Huchtschool,2024-08-06,0.0,250.0,0.0,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.4501949135139027,,1
2e Van der Huchtschool,2024-08-20,11.32,250.0,0.04528,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.4440254115652387,,1
2e Van der Huchtschool,2024-09-03,27.25,250.0,0.109,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.43270955717478615,,1
2e Van der Huchtschool,2024-09-17,38.95,250.0,0.15580000000000002,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.4210123728817849,,1
2e Van der Huchtschool,2024-10-01,22.83,250.0,0.09132,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.437557286091222,,1
2e Van der Huchtschool,2024-10-15,29.27,250.0,0.11708,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.43271000779918,,1
2e Van der Huchtschool,2024-10-29,25.67,250.0,0.10268000000000001,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.44069470047221615,,1
2e Van der Huchtschool,2024-11-12,77.73,250.0,0.31092000000000003,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.3991999328814197,,1
2e Van der Huchtschool,2024-11-26,18.46,250.0,0.07384,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.43158045520156607,,1
2e Van der Huchtschool,2024-12-10,19.12,250.0,0.07648,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.4299920911542237,,1
2e Van der Huchtschool,2024-12-23,25.67,250.0,0.10268000000000001,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.42191625723393744,,1
2e Van der Huchtschool,2025-01-07,0.0,250.0,0.0,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.46141311071543245,,1
2e Van der Huchtschool,2025-01-21,25.08,250.0,0.10031999999999999,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.423677958862274,,1
2e Van der Huchtschool,2025-02-04,35.68,250.0,0.14271999999999999,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.4316030813373383,,1
2e Van der Huchtschool,2025-02-18,109.51,250.0,0.43804000000000004,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.3985524040551076,,1
2e Van der Huchtschool,2025-03-04,24.04,250.0,0.09616,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.4164659873977584,,1
2e Van der Huchtschool,2025-03-18,23.1,250.0,0.09240000000000001,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.41736295143709623,,1
2e Van der Huchtschool,2025-04-01,58.33,250.0,0.23332,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.38823503131543463,,1
2e Van der Huchtschool,2025-04-15,53.2,250.0,0.21280000000000002,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.391016991357147,,1
2e Van der Huchtschool,2025-04-29,11.75,250.0,0.047,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.42960991173113544,,1
2e Van der Huchtschool,2025-05-13,64.34,250.0,0.25736000000000003,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.3958713047622619,,1
2e Van der Huchtschool,2025-05-27,15.99,250.0,0.06396,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.4330526403185717,,1
2e Van der Huchtschool,2025-06-10,13.63,250.0,0.054520000000000006,0.2724200000000002,0.0,13.776210526315788,0.7695136062124409,3.3962895609517547,5.510142857142857,127.51706066168742,15.0,0.9999151564084321,0.435308809832352,,1
Albert Plesman IKC,2024-01-08,103.85,250.0,0.4154,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.4002460105648865,,1
Albert Plesman IKC,2024-01-09,18.0,250.0,0.072,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.47079693164517117,,1
Albert Plesman IKC,2024-01-22,160.73,250.0,0.6429199999999999,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.3888532670037306,,1
Albert Plesman IKC,2024-02-05,56.39,250.0,0.22556,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.38469268032482595,,1
Albert Plesman IKC,2024-02-19,66.78,250.0,0.26712,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.3771843719590503,,1
Albert Plesman IKC,2024-03-04,168.99,250.0,0.67596,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.38695256664249794,,1
Albert Plesman IKC,2024-03-18,121.41,250.0,0.48563999999999996,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.37583016181080886,,1
Albert Plesman IKC,2024-04-01,93.46,250.0,0.37383999999999995,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.3715498839765218,,1
Albert Plesman IKC,2024-04-15,68.99,250.0,0.27596,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.37264436589124866,,1
Albert Plesman IKC,2024-04-29,90.54,250.0,0.36216000000000004,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.3703507802369281,,1
Albert Plesman IKC,2024-05-13,18.15,250.0,0.0726,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.41755538081409566,,1
Albert Plesman IKC,2024-05-27,68.43,250.0,0.27372,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.37491460362302653,,1
Albert Plesman IKC,2024-06-10,213.05,250.0,0.8522000000000001,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.4180763048934027,,1
Albert Plesman IKC,2024-06-24,0.0,250.0,0.0,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.44824217537192856,,1
Albert Plesman IKC,2024-07-04,231.73,250.0,0.92692,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.4495857755963905,,1
Albert Plesman IKC,2024-07-08,106.56,250.0,0.42624,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.42283683886587314,,1
Albert Plesman IKC,2024-07-22,71.15,250.0,0.2846,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.3946264339096197,,1
Albert Plesman IKC,2024-08-05,50.1,250.0,0.2004,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.4066028322943474,,1
Albert Plesman IKC,2024-08-19,118.78,250.0,0.47512,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.3851958573697791,,1
Albert Plesman IKC,2024-09-02,120.84,250.0,0.48336,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.3759810942537675,,1
Albert Plesman IKC,2024-09-16,129.1,250.0,0.5164,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.374743757155691,,1
Albert Plesman IKC,2024-09-30,215.17,250.0,0.86068,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.40892302701019023,,1
Albert Plesman IKC,2024-10-14,133.06,250.0,0.53224,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.3734620498039221,,1
Albert Plesman IKC,2024-10-28,225.32,250.0,0.90128,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.41505664666053593,,1
Albert Plesman IKC,2024-11-11,59.46,250.0,0.23784,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.38909548532842925,,1
Albert Plesman IKC,2024-11-25,188.03,250.0,0.75212,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.3896389749192199,,1
Albert Plesman IKC,2024-12-09,167.96,250.0,0.67184,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.3866494671630862,,1
Albert Plesman IKC,2024-12-20,136.05,250.0,0.5442,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.3766009618833245,,1
Albert Plesman IKC,2025-01-06,0.0,250.0,0.0,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.4740022788191789,,1
Albert Plesman IKC,2025-01-20,0.0,250.0,0.0,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.45348730914234986,,1
Albert Plesman IKC,2025-02-03,0.0,250.0,0.0,0.75212,0.0,35.985268292682925,0.7739210862485179,2.5758318444675194,16.094285714285714,34.72566722889175,17.0,0.8255245523250007,0.4579885644054703,,1
